Transect Number,Transect Name,Year,Species code,Total bird count,Total transect distance surveyed (km)
Numéro de transect,Nom du transect,Année,Code de l?espèce,Nombre total d?oiseaux,Distance totale du transect faisant l?objet du relevé (km)
1,WCT TRANSECT,1994,BRCO,97,349
1,WCT TRANSECT,1994,COMU,1756,349
1,WCT TRANSECT,1994,CORM,14,349
1,WCT TRANSECT,1994,LOON,132,349
1,WCT TRANSECT,1994,MAMU,5652,349
1,WCT TRANSECT,1994,PECO,364,349
1,WCT TRANSECT,1994,PIGU,153,349
1,WCT TRANSECT,1994,RHAU,681,349
1,WCT TRANSECT,1994,SCOT,14,349
1,WCT TRANSECT,1994,SOSH,11,349
1,WCT TRANSECT,1995,BRCO,94,333
1,WCT TRANSECT,1995,COMU,371,333
1,WCT TRANSECT,1995,CORM,13,333
1,WCT TRANSECT,1995,LOON,11,333
1,WCT TRANSECT,1995,MAMU,4450,333
1,WCT TRANSECT,1995,PALO,183,333
1,WCT TRANSECT,1995,PECO,312,333
1,WCT TRANSECT,1995,PIGU,111,333
1,WCT TRANSECT,1995,RHAU,701,333
1,WCT TRANSECT,1995,SCOT,69,333
1,WCT TRANSECT,1995,SOSH,5,333
2,BGI INNER TRANSECT,1995,CORM,1,18.42
2,BGI INNER TRANSECT,1995,MAMU,108,18.42
2,BGI INNER TRANSECT,1995,PIGU,6,18.42
3,BGI OUTER TRANSECT,1995,CORM,14,29.12
3,BGI OUTER TRANSECT,1995,MAMU,273,29.12
3,BGI OUTER TRANSECT,1995,PIGU,3,29.12
1,WCT TRANSECT,1996,BRCO,86,133.2
1,WCT TRANSECT,1996,COMU,843,133.2
1,WCT TRANSECT,1996,CORM,4,133.2
1,WCT TRANSECT,1996,LOON,3,133.2
1,WCT TRANSECT,1996,MAMU,2611,133.2
1,WCT TRANSECT,1996,PALO,90,133.2
1,WCT TRANSECT,1996,PECO,122,133.2
1,WCT TRANSECT,1996,PIGU,18,133.2
1,WCT TRANSECT,1996,RHAU,246,133.2
